accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8900962110048045,0.313787,0,1,1,41,0,0,3,0,0
0.8900962110048045,0.318614,0,1,1,42,1,0,10,0,0
0.8898008347677109,0.526006,0,1,0,41,0,0,2,0,0
0.8900962110048045,0.329191,134,1,0,4,0,0,1,0,0
0.8913903098902198,0.364136,52,1,0,4,0,0,2,0,0
0.8898008347677109,0.508716,79,0,0,8,0,0,1,0,0
0.8898008347677109,0.507319,44,0,0,11,0,0,1,0,0
0.8900962110048045,0.31335,0,1,1,11,0,0,10,0,0
0.8900962110048045,0.313144,0,1,1,41,0,0,14,0,0
0.8900962110048045,0.316029,1,1,1,20,0,0,19,0,0
0.8900962110048045,0.316704,0,1,1,41,0,0,25,0,0
0.8900962110048045,0.313622,0,1,1,13,0,0,15,0,0
0.8900962110048045,0.31362,1,1,1,53,0,0,17,0,0
0.8900962110048045,0.313397,0,1,1,41,0,0,8,0,0
0.8900962110048045,0.342037,0,1,1,76,0,0,14,0,0
0.8900962110048045,0.317057,0,1,1,34,0,0,14,0,0
0.8900962110048045,0.313824,0,1,1,41,0,0,18,0,0
0.8900962110048045,0.314647,0,1,1,49,0,0,14,0,0
0.8900962110048045,0.313767,0,1,1,41,0,0,15,0,0
0.8900962110048045,0.319546,0,1,1,96,0,0,17,0,0
0.8900962110048045,0.313739,0,1,1,53,0,0,14,0,0
0.8900962110048045,0.316475,0,1,1,30,0,0,9,0,0
0.8900962110048045,0.313826,0,1,1,41,0,0,12,0,0
0.8900962110048045,0.315048,0,1,1,56,0,0,6,0,0
0.8900962110048045,0.315995,1,1,1,41,0,0,14,0,0
0.8900962110048045,0.31542,0,1,1,41,0,0,20,0,0
0.8900962110048045,0.315556,0,1,1,41,0,0,22,0,0
0.8900962110048045,0.314137,0,1,1,41,0,0,12,0,0
0.8900962110048045,0.314608,0,1,1,41,0,0,13,0,0
0.8900962110048045,0.316566,0,1,1,98,0,0,14,0,0
0.8900962110048045,0.318321,0,1,1,34,0,0,14,0,0
0.8900962110048045,0.341402,0,1,1,70,0,0,14,0,0
0.8900962110048045,0.315346,0,1,1,65,0,0,16,0,0
0.8900962110048045,0.355587,0,1,1,36,0,0,14,0,0
0.8900962110048045,0.316188,0,1,1,74,0,0,14,0,0
0.889786460210686,0.533539,78,0,1,28,0,0,1,1,0
